红楼梦原文,English Translation
别门 不知 ， 只说 这 宁荣 两宅 ， 是 最 教子有方 的 ， 何至 如此 ？ ”,"I say nothing of other families , but the Jias of the Ning and Rong households used to be famous for the way in which they brought up their sons . How could they come to be as you describe ? '"
子 兴叹 道 ： “ 正说 的 是 这 两门 呢 ！,"' I assure you , it is precisely those families I am speaking of Let me tell you something of their history ."
等 我 告诉 你 ： 当日 宁国 公是 一母 同胞 弟兄 两个 。,The Duke of Ning-guo and the Duke of Rong-guo were two brothers by the same mother .
宁公 居长 ， 生 了 两个 儿子 。,Ning-guo was the elder of the two .
宁公 死 后 ， 长子 贾代化 袭 了 官 ， 也 养 了 两个 儿子 ：,"When he died , his eldest son , Jia Dai-hua , inherited his post . Daihua had two sons ."
长子 名 贾敷 ， 八九岁 上死 了 ， 只 剩 了 一个 次子 贾敬 ， 袭 了 官 ， 如今 一味 好 道 ， 只 爱 烧 丹炼 汞 ， 别事 一概 不管 。,"The elder , Jia Fu , died at the age of eight or nine , leaving only the second son , Jia Jing , to inherit . Nowadays Jia Jing 's only interest in life is Taoism . He spends all his time over retorts and crucibles concocting elixirs , and refuses to be bothered with anything else ."
幸而 早年 留下 一个 儿子 ， 名唤 贾珍 ， 因 他 父亲 一 心想 作 神仙 ， 把 官倒 让 他 袭 了 。,"' Fortunately he had already provided himself with a son , Jia Zhen , long before he took up this hobby . So , having set his mind on turning himself into an immortal , he has given up his post in favour of this son ."
他 父亲 又 不肯 住 在 家里 ， 只 在 都 中 城外 和 那些 道士 们 胡 羼 。,And what is more he refuses outright to live at home and spends his time fooling around with a pack of Taoists somewhere outside the city walls .
这位 珍爷 也 生 了 一个 儿子 ， 今年 才 十六岁 ， 名叫 贾蓉 。,"' This Jia Zhen has got a son of his own , a lad called Jia Rong , just turned sixteen ."
如今 敬 老爷 不管 事 了 ， 这 珍爷 那里 干 正事 ？ 只 一味 高乐 不了 ， 把 那 宁国府 竟 翻过来 了 ， 也 没有 敢 来 管 他 的 人 。,"With old Jia Jing out of the way and refusing to exercise any authority , Jia Zhen has thrown his responsibilities to the winds and given himself up to a life of pleasure . He has turned that Ning-guo mansion upside down , but there is no one around who dares gainsay him ."
再说 荣府 你 听 — — 方才 所说 异事 就 出 在 这里 ：,' Now I come to the Rong household - it was there that this strange event occurred that I was telling you about .
自 荣公 死 后 ， 长子 贾 代善 袭 了 官 ， 娶 的 是 金陵 世家 史侯 的 小姐 为 妻 ， 生 了 两个 儿子 ： 长 名 贾 赦 ， 次 名 贾政 ， 如今 代善 早已 去世 ， 太夫人 尚 在 ， 长子 贾 赦袭 了 官 ， 为 人 却 也 中平 ， 也 不 管理 家事 。,"When the old Duke of Rong-guo died , his eldest son , Jia Daishan , inherited his emoluments . He married a girl from a very old Nanking family , the daughter of Marquis Shi , who bore him two sons , Jia She and Jia Zheng . ' Dai-shan has been dead this many a year , but the old lady is still alive . The elder son , Jia She , inherited ; but he is only a very middling sort of person and does not play much part in running the family ."
惟有 次子 贾政 ， 自幼 酷喜 读书 ， 为 人 端方 正直 ， 祖父 钟爱 ， 原 要 他 从 科甲 出身 ， 不料 代善 临终 遗本 一上 ， 皇上 怜念 先臣 ， 即 叫 长子 袭 了 官 ， 又 问 还有 几个 儿子 ， 立刻 引见 ， 又 将 这 政 老爷 赐 了 个 额外主事 职衔 ， 叫 他 入 部习学 ； 如今 现已 升 了 员外郎 。,"The second son , though , Jia Zheng , has been mad keen on study ever since he was a lad . He is a very upright sort of person , straight as a die . He was his grandfather 's favourite . He would have sat for the examinations , but when the emperor saw Dai-shan 's testamentary memorial that he wrote on his death bed , he was so moved , thinking what a faithful servant the old man had been , that he not only ordered the elder son to inherit his father 's position , but also gave instructions that any other sons of his were to be presented to him at once , and on seeing Jia Zheng he gave him the post of Supernumerary Executive Officer , brevet rank , with instructions to continue his studies while on the Ministry 's payroll . From there he has now risen to the post of Under Secretary ."
这 政 老爷 的 夫人 王氏 ， 头 胎生 的 公子 名叫 贾珠 ， 十四岁 进 学 ， 后来 娶 了 妻 ， 生 了 子 ， 不到 二十岁 ， 一 病 就 死 了 ， 第二 胎生 了 一位 小姐 ， 生 在 大年初一 ， 就 奇 了 ；,"' Sir Zheng is lady was formerly a Miss Wang . Her first child was a boy called Jia Zhu . He was already a Licensed Scholar at the age of fourteen . Then he married and had a son . But he died of an illness before he was twenty . The second child she bore him was a little girl , rather remarkable because she was born on New Year 's day ."
不想 隔 了 十几年 ， 又 生 了 一位 公子 ， 说来 更 奇 ：,Then after an interval of twelve years or more she suddenly had another son .
一 落 胞胎 ， 嘴里 便 衔 下 一块 五彩 晶莹 的 玉 来 ， 还有 许多 字迹 ；,"He was even more remarkable , because at the moment of his birth he had a piece of beautiful , clear , coloured jade in his mouth with a lot of writing on it ."
,They gave him the name ' Bao-yu ' as a consequence .
你 道 是 新闻 不是 ？ ”,Now tell me if you do not think that is an extraordinary thing . '
雨村 笑 道 ： “ 果然 奇异 ！,"' It certainly is , ' Yu-cun agreed ."
只怕 这人 的 来历 不小 ！ ”,' I should not be at all surprised to find that there was something very unusual in the heredity of that child .
子兴 冷笑 道 ： “ 万 人 都 这样 说 ， 因而 他 祖母 爱如珍宝 。,"' Humph , ' said Zi-xing . A great many people have said that . That is the reason why his old grandmother thinks him such a treasure ."
那 周岁 时 ， 政 老爷 试 他 将来 的 志向 ， 便 将 世上 所有 的 东西 ， 摆 了 无数 叫 他 抓 ， 谁知 他 一概 不取 ， 伸手 只 把 些 脂粉 钗 环 抓来 玩弄 ， 那 政 老爷 便 不 喜欢 ， 说 将来 不过 酒色之徒 ， 因此 不 甚 爱惜 。,"But when they celebrated the First Twelvemonth and Sir Zheng tested his disposition by putting a lot of objects in front of him and seeing which he would take hold of , he stretched out his little hand and started playing with some women is things - combs , bracelets , pots of rouge and powder and the like - completely ignoring all the other objects . Sir Zheng was very displeased . He said he would grow up to be a rake , and ever since then he hasn ' t felt much affection for the child ."
独 那 太君 还是 命根子 一般 。,But to the old lady he is the very apple of her eye .
— — 说来 又 奇 ： 如今 长 了 十来 岁 ， 虽然 淘气 异常 ， 但 聪明 乖觉 ， 百个 不及 他 一个 ， 说起 孩子 话 来 也 奇 ：,"' But there is more that is unusual about him than that . He is now rising ten and unusually mischievous , yet his mind is as sharp as a needle . You would not find one in a hundred to match him . Some of the childish things he says are most extraordinary ."
他 说 ： ‘ 女儿 是 水 做 的 骨肉 ， 男子 是 泥 做 的 骨肉 ， 我 见 了 女儿 便 清爽 ， 见 了 男子 便 觉 浊 臭 逼人 ！ ’,"He will say , "" Girls are made of water and boys are made of mud . When I am with girls I feel fresh and clean , but when I am with boys I feel stupid and nasty . """
你 道 好笑 不好 笑 ？,Now is not that priceless !
将来 色鬼 无疑 了 ！ ”,"He will be a ladykiller when he grows up , no question of that . '"
雨村 罕然 厉色 道 ： “ 非 也 ！,Yu-cun 's face assumed an expression of unwonted severity . ' Not so . By no means .
可惜 你们 不 知道 这人 的 来历 ， — — 大约 政 老前辈 也 错以淫魔 色鬼 看待 了 ！,It is a pity that none of you seem to understand this child 's heredity . Most likely even my esteemed kinsman Sir Jia Zheng is mistaken in treating the boy as a future libertine .
若非 多 读书 识事 ， 加以 致知 格物 之 功 、 悟道 参 玄之 力者 ， 不能 知 也 。 ”,"This is something that no one but a widely read person , and one moreover well-versed in moral philosophy and in the subtle arcana of metaphysical science could possibly understand . '"
子兴 见 他 说 得 这样 重大 ， 忙 请教 其 故 。,"Observing the weighty tone in which these words were uttered , Zi-xing hurriedly asked to be instructed , and Yu-cun proceeded as follows :"
雨村 道 ： “ 天地生 人 ， 除大仁 大恶 ， 余者 皆 无 大异 ， 若大 仁者 则 应运而生 ， 大 恶者 则 应劫 而 生 ， 运生 世治 ， 劫生世危 。,"' The generative processes operating in the universe provide the great majority of mankind with natures in which good and evil are commingled in more or less equal proportions . Instances of exceptional goodness and exceptional badness are produced by the operation of beneficent or noxious ethereal influences , of which the former are symptomatized by the equilibrium of society and the latter by its disequilibrium ."
尧 、 舜 、 禹 、 汤 、 文 、 武 、 周 、 召 、 孔 、 孟 、 董 、 韩 、 周 、 程 、 朱 、 张 ， 皆 应运而生 者 ；,"' Thus , Yao , Shun , Yu , Tang , King Wen , King Wu , the Duke of Zhou , the Duke of Shao , Confucius , Mencius , Dong Zhong-shu , Han Yu , Zhou Dun-yi , the Cheng brothers , Zhu Xi and Zhang Zai - all instances of exceptional goodness - were born under the influence of benign forces , and all sought to promote the well-being of the societies in which they lived ;"
蚩尤 、 共工 、 桀 、 纣 、 始皇 、 王莽 、 曹操 、 桓温 、 安禄山 、 秦桧 等 ， 皆 应劫 而 生者 ：,"whilst Chi You , Gong Gong , Jie , Zhou , the First Qin Emperor , Wang Mang , Cao Cao , Huan Wen , An Lu-shan and Qin Hui - all instances of exceptional badness - were born under the influence of harmful forces , and all sought to disrupt the societies in which they lived ."
大 仁者 修治 天下 ， 大 恶者 扰乱 天下 。,"' Now , the good cosmic fluid with which the natures of the exceptionally good are compounded is a pure , quintessential humour ; whilst the evil fluid which infuses the natures of the exceptionally bad is a cruel , perverse humour ."
清明 灵秀 ， 天地 之 正气 ， 仁者 之 所 秉 也 ， 残忍 乖僻 ， 天地 之 邪气 ， 恶者 之 所 秉 也 。,"' Therefore , our age being one in which beneficent ethereal influences are in the ascendant , in which the reigning dynasty is well-established and society both peaceful and prosperous , innumerable instances are to be found , from the palace down to the humblest cottage , of individuals endowed with the pure , quintessential humour ."
今 当 祚 永运隆 之 日 ， 太平 无为 之 世 ， 清明 灵秀 之 气 所 秉者 ， 上 自 朝廷 ， 下 至 草野 ， 比比皆是 。,"' Moreover , an unused surplus of this pure , quintessential humour , unable to find corporeal lodgement , circulates freely abroad until it manifests itself in the form of sweet dews and balmy winds , asperged and effused for the enrichment and refreshment of all terrestial life . ' Consequently , the cruel and perverse humours , unable to circulate freely in the air and sunlight , subside , by a process of incrassation and coagulation , into the bottoms of ditches and ravines ."
所余 之 秀气 ， 漫无 所归 ， 遂 为 甘露 ， 为 和 风 ， 洽然 溉 及 四海 ， 彼 残忍 乖 邪 之 气 ， 不能 荡 溢于 光天化日 之下 ， 遂 凝结 充塞 于 深沟 大壑 之中 ， 偶因 风荡 ， 或 被 云 摧 ， 略有 摇动 感发 之 急 ， 一丝 半缕 ， 悮 而 逸 出 者 ， 值 灵秀 之 气 适过 ， 正 不容 邪 ， 邪 复妒 正 ， 两 不 相下 ， 如 风水 雷电 ， 地中 既 遇 ， 既 不能 消 ， 又 不能 让 ， 必致 搏击 掀发 ， 既然 发泄 ， 那 邪气 亦必赋 之 于 人 ， 假使 或 男 或 女 ， 偶 秉 此 气 而 生者 ， 上 则 不能 为 仁人 为 君子 ， 下 亦 不能 为 大 凶大 恶 ：,"' Now , should these incrassate humours chance to be stirred or provoked by wind or weather into a somewhat more volatile and active condition , it sometimes happens that a stray wisp or errant flocculus may escape from the fissure or concavity in which they are contained ; and if some of the pure , quintessential humour should chance to be passing overhead at that same moment , the two will become locked in irreconcilable conflict , the good refusing to yield to the evil the evil persisting in its hatred of the good . And just as wind , water , thunder and lightning meeting together over the earth can neither dissipate nor yield one to another but produce an explosive shock resulting in the downward emission of rain , so does this clash of humours result in the forcible downward expulsion of the evil humour , which , being thus forced downwards , will find its way into some human creature . ' Such human recipients , whether they be male or female , since they are already amply endowed with the benign humour before the evil humour is injected , are incapable of becoming either greatly good or greatly bad ;"
置 之 千万 人 之中 ， 其 聪俊 灵秀 之 气 ， 则 在 千 万人之上 ， 其 乖僻邪谬 不近人情 之 态 ， 又 在 千万 人 之下 ；,"but place them in the company of ten thousand others and you will find that they are superior to all the rest in sharpness and intelligence and inferior to all the rest in perversity , wrongheadedness and eccentricity ."
若 生于 公侯 富贵 之 家 ， 则 为 情 痴情 种 ；,Born into a rich or noble household they are likely to become great lovers or the occasion of great love in others ;
若 生于 诗书 清贫 之族 ， 则 为 逸士 高 人 ；,in a poor but well-educated household they will become literary rebels or eccentric aesthetes ;
纵然 生于 薄祚 寒门 ， 甚至 为 奇 优 ， 为名 娼 ， 亦 断 不至 为 走卒 健 仆 ， 甘 遭 庸夫 驱制 ，,"even if they are born in the lowest stratum of society they are likely to become great actors or famous hetaerae . Under no circumstances will you find them in servile or menial positions , content to be at the beck and call of mediocrities ."
— — 如前 之 许由 、 陶潜 、 阮籍 、 嵇康 、 刘伶 、 王 谢二族 、 顾 虎头 、 陈后主 、 唐明皇 、 宋徽宗 、 刘庭芝 、 温飞卿 、 米 南宫 、 石曼卿 、 柳耆 卿 、 秦少游 ， 近日 倪云林 、 唐伯虎 、 祝枝山 ， 再 如 李龟 年 、 黄播 绰 、 敬新 磨 、 卓文君 、 红拂 、 薛涛 、 崔莺 、 朝云 之流 ：,"' For examples I might cite : Xu You , Tao Yuan-ming , Ruan Ji , Ji Kang , Liu Ling , the Wang and Xie clans of the Jin period , Gu Kai-zhi , the last ruler of Chen , the emperor Ming-huang of the Tang dynasty , the emperor Hui-zong of the Song dynasty , Liu Tingzhi , Wen Ting-yun , Mi Fei , Shi Yan-nian , Liu Yong and Qin Guan ; or , from more recent centuries : Ni Zan , Tang Yin and Zhu Yun-ming ; or again , for examples of the last type : Li Gui-nian , Huang Fan-chuo , Jing Xin-mo , Zhuo Wen-jun , Little Red Duster , Xue Tao , Cui Ying-ying and Morning Cloud ."
此 皆 易地 则 同 之人 也 。 ”,"All of these , though their circumstances differed , were essentially the same . '"
子兴道 ： “ 依 你 说 ， ‘ 成则 公侯 败则 贼 ’ 了 ？ ”,"' You mean ' Zi-xing interposed , ' Zhang victorious is a hero , Zhang beaten is a lousy knave ? '"
雨村 道 ： “ 正是 这 意 。,"' Precisely so , ' said Yu-cun ."
你 还 不知 ， 我 自 革职 以来 ， 这 两年 遍游 各省 ， 也 曾 遇见 两个 异样 孩子 ， 所以 方才 你 一说 这 宝玉 ， 我 就 猜 着 了 八九 也 是 这 一派 人物 。,' I should have told you that during the two years after I was cashiered I travelled extensively in every province of the empire and saw quite a few remarkable children in the course of my travels ; so that just now when you mentioned this Bao-yu I felt pretty certain what type of boy he must be .
不用 远 说 ， 只 这 金陵 城内 ， 钦差 金陵 省体 仁院 总裁 甄家 ， 你 可 知道 ？ ”,But one does not need to go very far afield for another example . There is one in the Zhen family in Nanking - I am refer-ring to the family of the Zhen who is Imperial Deputy Director-General of the Nanking Secretariat . Perhaps you know who I mean ? '
子兴道 ： “ 谁 人不知 ！,' Who does not ? ' said Zi-xing .
这 甄府 就是 贾府 老亲 ， 他们 两家 来往 极 亲热 的 ， — — 就是 我 也 和 他家 往来 非 止 一日 了 。,"' There is an old family connection between the Zhen family and the Jias of whom we have just been speaking , and they are still on very close terms with each other . I have done business with them myself for longer than I would care to mention . '"
雨村 笑 道 ： “ 去岁 我 在 金陵 ， 也 曾 有人 荐 我 到 甄府 处 馆 ， 我 进去 看 其 光景 ， 谁知 他家 那 等 荣贵 ， 却是 个 ‘ 富而好礼 ’ 之 家 ， 倒 是 个 难得 之馆 。,"' Last year when I was in Nanking , ' said Yu-cun , smiling at the recollection , ' T was recommended for the post of tutor in their household . I could tell at a glance , as soon as I got inside the place , that for all the ducal splendour this was a family ' though rich yet given to courtesy ' , in the words of the Sage , and that it was a rare piece of luck to have got a place in it ."
但是 这个 学生 虽 是 启蒙 ， 却 比 一个 举业 的 还 劳神 。,"But when I came to teach my pupil , though he was only at the first year primary stage , he gave me more trouble than an examination candidate ."
说 起来 更 可笑 ：,' He was indeed a comedy .
他 说 ： ‘ 必 得 两个 女儿 陪 着 我 读书 ， 我方 能 认得 字 ， 心上 也 明白 ； 不然 ， 我 心里 自己 糊涂 。 ’,"He once said , "" I must have two girls to do my lessons with me if I am to remember the words and understand the sense . Otherwise my mind will simply not work . """
又 常 对着 跟 他 的 小厮 们 说 ： ‘ 这 “ 女儿 ” 两个 字 极 尊贵 极 清净 的 ， 比 那 瑞兽 珍禽 、 奇花异草 更觉 希罕 尊贵 呢 ！,"And he would often tell the little pages who waited on him , "" The word ' girl is very precious and very pure . It is much more rare and precious than all the rarest beasts and birds and plants in the world ."
你们 这种 浊 口臭 舌 ， 万万不可 唐突 了 这 两个 字 ， 要紧 ， 要紧 ！,"So it is most extremely important that you should never , never violate it with your coarse mouths and stinking breath ."
但凡 要说 的 时节 ， 必用 净水 香茶 漱 了 口 方可 ； 设若 失错 ， 便 要 凿 牙 穿 眼 的 。 ’,"Whenever you need to say it , you should first rinse your mouths out with clean water and scented tea . And if ever I catch you slipping up , I shall have holes drilled through your teeth and lace them up together . """
其 暴虐 顽劣 ， 种种 异常 ；,' There was simply no end to his violence and unruliness .
只 放 了 学 进去 ， 见 了 那些 女儿 们 ， 其 温厚 和平 ； 聪敏 文雅 ， 竟变 了 一个 样子 。,"Yet as soon as his lessons were over and he went inside to visit the girls of the family , he became a completely different person - all gentleness and calm , and as intelligent and well-bred as you please ."
因此 他 令尊 也 曾 下死 笞 楚 过 几次 ， 竟 不能 改 ；,' His father gave him several severe beatings but it made no difference .
每 打 的 吃疼 不过 时 ， 他 便 ‘ 姐姐 ’ ‘ 妹妹 ’ 的 乱叫 起来 。,"Whenever the pain became too much for him he would start yelling "" Girls ! girls ! """
后来 听 得 里面 女儿 们 拿 他 取笑 ： ‘ 因 何 打 急 了 只管 叫 姐妹 作 什么 ？,"Afterwards , when the girls in the family got to hear about it , they made fun of him . "" Why do you always call to us when you are hurt ?"
莫不 叫 姐妹 们 去 讨情 讨饶 ？,I suppose you think we shall come and plead for you to be let off .
你 岂 不愧 些 ！ ’,"You ought to be ashamed of yourself ! """
他 回答 的 最妙 ， 他 说 ： ‘ 急痛 之 时 ， 只 叫 “ 姐姐 ” “ 妹妹 ” 字样 ， 或 可解 疼 ， 也 未可知 ， 因 叫 了 一声 ， 果觉 疼 得 好些 ， 遂 得 了 秘法 ， 每 疼痛 之 极 ， 便 连叫 姐妹 起来 了 ！ ’,"But you should have heard his answer . He said , "" Once when the pain was very bad , I thought that perhaps if I shouted the word ' girls ' it might help to ease it . Well , "" he said , "" I just called out once , and the pain really was quite a bit better . So now that I have found this secret remedy , I just keep on shouting ' Girls ! girls ! girls ! ' whenever the pain is at its worst . """
你 说 可笑 不可 笑 ？,I could not help laughing .
为 他 祖母 溺爱 不明 ， 每 因 孙 辱 师 责子 ， 我 所以 辞 了 馆 出来 的 。 这 等 子弟 必 不能 守 祖父 基业 、 从 师友 规劝 的 。,"' But because his grandmother doted on him so much , she was always taking the child 's part against me and his father . In the end I had to hand in my notice . A boy like that will never be able to keep up the family traditions or listen to the advice of his teachers and friends ."
— — 只 可惜 他家 几个 好姊妹 都 是 少有 的 ！ ”,"The pity of it is , though , that the girls in that family are all exceptionally good . '"
子兴道 ： “ 便是 贾府中 现在 三个 也 不错 。,"' The three at present in the Jia household are also very fine girls , ' said Zi-xing ."
政 老爷 的 长女 名 元春 ， 因 贤孝 才 德 ， 选入 宫作 女史 去 了 。,"' Sir Jia Zheng 's eldest girl , Yuan-chun , was chosen for her exceptional virtue and cleverness to be a Lady Secretary in the Imperial Palace ."
二 小姐 乃是 赦 老爷 姨娘 所 出 ， 名 迎春 。,The next in age after her and eldest of the three still at home is called Ying-chun . She is the daughter of Sir Jia She by one of his secondary wives .
三 小姐 政 老爷 庶出 ， 名 探春 。,"After her comes another daughter of Sir Zheng 's , also a concubine 's child , called Tan-chun ."
四 小姐 乃 宁府珍 爷 的 胞妹 ， 名惜 春 ， 因史 老夫 人 极 爱 孙女 ， 都 跟 在 祖母 这边 ， 一处 读书 ， 听 得 个个 不错 。 ”,"The youngest , Xi-chun , is sister-german to Mr Jia Zhen of the Ning-guo mansion . Old Lady Jia is very fond of her granddaughters and keeps them all in her own apartments on the Rong-guo side . They all study together , and I have been told that they are doing very well . '"
雨村 道 ： “ 更妙 在 甄家 风俗 ， 女儿 之 名 ， 亦 皆 从 男子 之 名 ， 不 似 别人 家里 ， 另外 用 这些 ‘ 春 ’ ‘ 红 ’ ‘ 香 ’ ‘ 玉 ’ 等 艳 字 ；,"' One of the things I liked about the Zhen family , ' said Yu-cun , was their custom of giving the girls the same sort of names as the boys , unlike the majority of families who invariably use fancy words like ' chun ' , ' hong ' , ' riang ' , ' yu ' , and so forth ."
何 得 贾府 亦 落 此 俗套 ？ ”,How comes it that the Jias should have followed the vulgar practice in this respect ? '
子兴道 ： “ 不然 。,"' They did not , ' said Zi-xing ."
只 因 现今 大 小姐 是 正月初一 所 生 ， 故名 ‘ 元春 ’ ， 余者 都 从 了 ‘ 春 ’ 字 ；,"' The eldest girl was called "" Yuan-chun "" because she was in fact born on the first day of spring . The others were given names with "" chun "" in them to match hers ."
上 一排 的 却 也 是从 弟兄 而来 的 。,"But if you go back a generation , you will find that among the Jias too the girls had names exactly like the boys ' ."
— — 现有 对证 ： 目今 你 贵 东家 林公 的 夫人 ， 即 荣府 中 赦政 二公 的 胞妹 ， 在家 时 名字 唤 贾敏 ， 不信 时 你 回去 细访 可知 。 ”,"' I can give you proof . Your present employer 's good lady is sister-german to Sir She and Sir Zheng of the Rong household . Her name , before she married , was Jia Min . If you do not believe me , you make a few inquiries when you get home and you will find it is so . '"
雨村 拍手 笑 道 ： “ 是 极 ！,Yu-cun clapped his hands with a laugh . ' Of course !
我 这 女 学生 名叫 黛玉 ， 他 读书 凡 ‘ 敏 ’ 字 他 皆 念作 ‘ 密 ’ 字 ， 写字 遇 着 ‘ 敏 ’ 字 亦 减 一二 笔 ， 我 心中 每每 疑惑 ， 今 听 你 说 ， 是 为此 无疑 矣 。,"I have often wondered why it is that my pupil Dai-yu always pronounces "" min "" as "" mi "" when she is reading and , if she has to write it , always makes the character with one or two strokes missing . Now I understand ."
怪 道 我 这 女 学生 言语 举止 另是 一样 ， 不 与 凡 女子 相同 ， 度 其 母 不凡 ， 故生 此 女 ；,No wonder her speech and behaviour are so unlike those of ordinary children ! I always supposed that there must have been something remarkable about the mother for her to have produced so remarkable a daughter .
今 知为 荣府 之外 孙 ， 又 不足 罕 矣 。,"Now I know that she was related to the Jias of the Rong household , I am not surprised ."
— — 可惜 上月 其 母 竟 亡故 了 ！ ”,"' By the way , I am sorry to say that last month the mother passed away . '"
子 兴叹 道 ： “ 老 姊妹 三个 ， 这 是 极小 的 ， 又 没了 ！,Zi-xing sighed . ' Fancy her dying so soon ! She was the youngest of the three .
长 一辈 的 姊妹 一个 也 没了 ！,"And the generation before them are all gone , every one ."
只 看 这 小 一辈 的 将来 的 东床 何如 呢 。 ”,We shall have to see what sort of husbands they manage to find for the younger generation ! '
雨村 道 ： “ 正是 。,"' Yes , indeed , ' said Yu-cun ."
方才 说 政公 已有 一个 衔 玉之子 ， 又 有 长子 所 遗弱 孙 ， 这 赦老 竟 无 一个 不成 ？ ”,Just now you mentioned that Sir Zheng had this boy with the jade in his mouth and you also mentioned a little grandson left behind by his elder son . What about old Sir She ? Surely he must have a son ? '
子兴道 ： “ 政公 既有 玉儿 之后 ， 其 妾 又 生 了 一个 ， 倒 不知 其 好歹 。,"' Since Sir Zheng had the boy with the jade , he has had another son by a concubine , ' said Zi-xing , ' but I could not tell you what he is like ."
只 眼前 现有 二子 一 孙 ， 却 不知 将来 何如 。,"So at present he has two sons and one grandson . Of course , we do not know what the future may bring ."
若 问 那 赦 老爷 ， 也 有 一子 ， 名叫 贾琏 ， 今 已 二十多岁 了 ， 亲上做亲 ， 娶 的 是 政 老爷 夫人 王氏 内侄女 ， 今 已 娶 了 四五年 。,"' But you were asking about Sir She . Yes , he has a son too , called Jia Lian . He is already a young man in his early twenties . He married his own kin , the niece of his Uncle Zheng 's wife , Lady Wang . He is been married now for four or five years ."
这位 琏 爷 身上 ， 现 捐 了 个 同知 ， 也 是 不喜 正务 的 ；,Holds the rank of a Subprefect by purchase . He is another member of the family who does not find responsibilities congenial .
于 世 路上 好 机变 ， 言谈 去 得 ， 所以 目今 现在 乃 叔 政 老爷 家住 ， 帮 着 料理 家务 。,"He knows his way around , though , and has a great gift of the gab , so at present he stays at home with his Uncle Zheng and helps him manage the family 's affairs ."
谁知 自 娶 了 这位 奶奶 之后 ， 倒 上下 无人 不 称颂 他 的 夫人 ， 琏 爷 倒退 了一舍 之 地 ， — — 模样 又 极 标致 ， 言谈 又 爽利 ， 心机 又 极 深细 ， 竟是 个 男人 万 不及 一 的 ！ ”,"However , ever since he married this young lady I mentioned , everyone high and low has joined in praising hen and he has been put into the shade rather . She is not only a very handsome young woman , she also has a very ready tongue and a very good head - more than a match for most men , I can tell you . '"
雨村 听 了 笑 道 ： “ 可知 我言 不谬 了 ： 你 我 方才 所说 的 这 几个 人 ， 只怕 都 是 那 正邪 两 赋 而 来 ， 一路 之 人 ， 未可知 也 ！ ”,"' You see , I was not mistaken , ' said Yu-cun . ' All these people you and I have been talking about are probably examples of that mixture of good and evil humours I was describing to you . '"
子兴道 ： “ ‘ 正 ’ 也罢 ！ ‘ 邪 ’ 也罢 ！,"' Well , I do not know about that , ' said Zi-xing ."
只顾 算 别人 家 的 账 ， 你 也 吃 一 杯酒 才 好 。 ”,"' Instead of sitting here setting other people 's accounts to rights , let is have another drink !"
雨村 道 ： “ 只顾 说话 ， 就 多 吃 了 几杯 。,"' I am afraid I have drunk quite a lot while we were busy talking , ' said Yu-cun ."
子兴笑 道 ： “ 说 着 别人 家 的 闲话 ， 正好 下酒 ， 即 多 吃 几杯 何妨 ！ ”,Zi-xing laughed . ' There is nothing like a good gossip about other people 's affairs for making the wine go down ! I am sure an extra cup or two will not do us any harm . '
雨村 向 窗外 看道 ： “ 天 也 晚 了 ， 仔细 关了 城 ， 我们 慢慢 进城 再 谈 ， 未为不可 。 ”,Yu-cun glanced out of the window . ' It is getting late . We must be careful we do not get shut out of the city . Why not continue the conversation on our way back ? Then we can take our time . '
于是 二人 起身 ， 算 还 酒钱 。 方欲 走时 ， 忽 听 得 后面 有人 叫 道 ： “ 雨村 兄 恭喜 了 ！ 特来 报 个 喜信 的 。 ”,"The two men accordingly rose from their seats , settled the bill for the wine , and were just about to start on their way , when a voice from behind called out , ' Yu-cun , congratulations ! I have got some good news for you . '"
雨村 忙 回头 看 时 ， — — 要知 是 谁 ， 且 听 下回分解 。,"Yu-cun turned to look . But if you wish to know who it was , you will have to read the next chapter ."
第三回,Chapter 3
托 内兄 如 海荐 西宾,Lin Ru-hai recommends a private tutor to his brother-in-law
接 外孙 贾母 惜 孤女,And old Lady Jia extends a compassionate welcome to the motherless child
却说 雨村 忙 回头 看 时 ， 不是 别人 ， 乃是 当日 同僚 一案 参革 的 张如圭 ；,"When Yu-cun turned to look , he was surprised to see that it was Zhang Ru-gui , a former colleague who had been cashiered at the same time and for the same reason as himself ."
他 系 此地 人 ， 革 后 家居 ， 今 打听 得 都 中 奏 准起 复旧 员 之 信 ， 他 便 四下里 寻情 找门路 ， 忽 遇见 雨村 ， 故忙 道喜 。,"Zhang Ru-gui was a native of these parts , and had been living at home since his dismissal . Having just wormed out the information that a motion put forward in the capital for the reinstatement of ex-officials had been approved , he had been dashing about ever since , pulling strings and soliciting help from potential backers , and was engaged in this activity when he unexpectedly ran into Yu-cun . Hence the tone of his greeting ."
二人 见 了 礼 ， 张如圭 便 将 此信 告知 雨村 ， 雨村 欢喜 ， 忙忙 叙 了 两句 ， 各自 别 去 回家 。,"As soon as they had finished bowing to each other , Zhang Ru-gui told Yu-cun the good news , and after further hurried conversation they went their separate ways ."
— — 冷子兴 听 得 此言 ， 便 忙 献计 ， 令 雨 村 央求 林如海 ， 转向 都 中 去 央 烦 贾政 。,"Leng Zi-xing , who had overheard the news , proposed a plan . Why should not Yu-cun ask his employer Lin Ru-hai to write to his brother-in-law Jia Zheng in the capital and enlist his support on his , Yu-cun 's , behalf ?"
